년도,항구분,총계,외항소계,외항입항,외항출항,외항입항환적,외항출항환적,내항연안화물
1993,북항,69468242,57526251,26152577,31373674,0,0,11941991
1994,북항,81680460,67960869,33397436,34563433,0,0,13719591
1994,감천,3429201,1740411,1662278,78133,0,0,1688790
1995,북항,93438046,76290585,38447263,37843322,0,0,17147461
1995,감천,3520227,2067929,1966863,101066,0,0,1452298
1996,북항,97597612,80154961,40721666,39433295,0,0,17442651
1996,감천,4966825,2473463,2268452,205011,0,0,2493362
1997,북항,106642905,86165267,43053747,43111520,0,0,20477638
1997,감천,5078321,2415001,2138806,276195,0,0,2663320
1998,북항,96432544,81778430,32135685,49642745,0,0,14654114
1998,감천,9882669,6629814,3633224,2996590,0,0,3252855
1999,북항,107757128,93037241,44548417,48488824,0,0,14719887
1999,감천,10607040,7960999,5071724,2889275,0,0,2646041
2000,북항,117228960,101899084,54744694,47154390,0,0,15329876
2000,감천,2393280,1749304,1232625,516679,0,0,643976
2001,북항,149661433,134562160,34270582,48197191,28770174,23324213,15099273
2001,감천,13819306,10056917,5187737,2988783,1351428,528969,3762389
2002,북항,165676590,150260099,40677266,50498667,37179952,21904214,15416491
2002,감천,15338520,11115721,5712061,3589489,1566480,247691,4222799
2003,북항,187184537,171922828,40932175,54836631,41841311,34312711,15261709
2003,감천,17003462,12666295,6048889,3121602,1863444,1632360,4337167
2003,신항,193562,0,0,0,0,0,193562
2003,신항,4267593,3412266,3001875,408491,0,1900,855327
2003,신항,1056226,443564,207178,232440,3554,392,612662
2003,신항,1958761,1842212,1842212,0,0,0,116549
2003,신항,107720,28400,22710,5690,0,0,79320
2003,신항,591,0,0,0,0,0,591
2003,신항,74234,71714,62323,9391,0,0,2520
2003,신항,16493,6926,6926,0,0,0,9567
2003,신항,215796,83827,76074,7753,0,0,131969
2003,신항,7164689,5755275,3843159,1796825,67581,47710,1409414
2003,신항,5297682,4832598,3209416,1582664,21549,18969,465084
2004,북항,215032399,201075748,43048407,61599600,47173410,49254331,13956651
2004,감천,19094765,14595926,6299694,3435872,2141724,2718636,4498839
2005,북항,217217227,203908564,44449441,59260383,49817344,50381396,13308663
2005,감천,17124100,13714637,6869269,3112548,1831636,1901184,3409463
2006,북항,229938598,217875692,48789770,61667085,55978531,51440306,12062906
2006,감천,18670546,15869375,8073708,3383009,2358873,2053785,2801171
2006,신항,3790285,3613419,314786,1176839,799084,1322710,176866
